team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
Canada,,Joel Waterman,0,DF,30,1996-01-24,Canada,Chicago Fire FC,17,0,2000000,0,0
Canada,,Mathieu Choinière,0,MF,27,1999-02-07,Canada,Los Angeles FC,23,0,800000,0,0
Canada,,Stephen Eustáquio,0,MF,29,1996-12-21,Canada,Los Angeles FC,55,4,6000000,0,0
Canada,,Ismaël Koné,0,MF,23,2002-06-16,Canada,Sassuolo,39,4,25000000,0,0
Canada,,Cyle Larin,0,FW,31,1995-04-17,Canada,Southampton,89,30,2500000,2,0
Canada,,Jonathan David,0,FW,26,2000-01-14,Canada,Juventus,76,39,30000000,3,0
Canada,,Liam Millar,0,MF,26,1999-09-27,Canada,Hull City,40,1,3000000,0,0
Canada,,Tani Oluwaseyi,0,FW,26,2000-05-15,Canada,Villarreal,23,2,8000000,0,0
Canada,,Derek Cornelius,0,DF,28,1997-11-25,Canada,Rangers,43,1,2500000,0,0
Canada,,Jacob Shaffelburg,0,MF,26,1999-11-26,Canada,Los Angeles FC,31,6,2500000,0,0
Canada,,Moïse Bombito,0,DF,26,2000-03-30,Canada,Nice,20,0,7000000,0,0
Canada,,Maxime Crépeau,0,GK,32,1994-05-11,Canada,Orlando City SC,31,0,1800000,0,0
Canada,,Tajon Buchanan,0,FW,27,1999-02-08,Canada,Villarreal,59,8,12000000,0,0
Canada,,Owen Goodman,0,GK,22,2003-11-27,Canada,Barnsley,0,0,550000,0,0
Canada,,Alphonso Davies,1,DF,25,2000-11-02,Canada,Bayern Munich,58,15,40000000,0,0
Canada,,Ali Ahmed,0,FW,25,2000-10-10,Canada,Norwich City,24,1,5000000,0,0
Canada,,Jonathan Osorio,0,MF,33,1992-06-12,Canada,Toronto FC,90,10,1000000,0,0
Canada,,Richie Laryea,0,DF,31,1995-01-07,Canada,Toronto FC,74,1,1000000,0,0
Canada,,Niko Sigur,0,DF,22,2003-09-09,Canada,Hajduk Split,18,2,4000000,0,0
