team,player_name,position,age,date_of_birth,caps,goals,club
Qatar,Issa Laye,DF,28,1997-12-22,3,0,Al-Arabi
Qatar,Jassem Gaber,DF,24,2002-02-20,31,1,Al-Rayyan
Qatar,Abdulaziz Hatem,MF,36,1990-01-01,117,11,Al-Rayyan
Qatar,Ahmed Alaaeldin,FW,33,1993-01-31,67,9,Al-Rayyan
Qatar,Edmilson Junior,FW,31,1994-08-19,15,0,Al-Duhail
Qatar,Mohammed Muntari,FW,32,1993-12-20,67,16,Al-Gharafa
Qatar,Hassan Al-Haydos (captain),FW,35,1990-12-11,185,41,Al-Sadd
Qatar,Akram Afif,FW,29,1996-11-18,124,39,Al-Sadd
Qatar,Karim Boudiaf,MF,35,1990-09-16,117,5,Al-Duhail
Qatar,Ayoub Al-Oui,DF,21,2005-03-11,5,0,Al-Gharafa
Qatar,Homam Ahmed,DF,26,1999-08-25,67,3,Cultural Leonesa
Qatar,Yusuf Abdurisag,FW,26,1999-08-06,38,3,Al-Wakrah
Qatar,Boualem Khoukhi,DF,35,1990-07-09,115,20,Al-Sadd
Qatar,Ahmed Al-Ganehi,MF,25,2000-09-22,13,1,Al-Gharafa
Qatar,Sultan Al-Brake,DF,30,1996-04-07,16,0,Al-Duhail
Qatar,Almoez Ali,FW,29,1996-08-19,115,55,Al-Duhail
Qatar,Ahmed Fathy,MF,33,1993-01-25,47,0,Al-Arabi
Qatar,Salah Zakaria,GK,27,1999-04-24,8,0,Al-Duhail
Qatar,Meshaal Barsham,GK,28,1998-02-14,52,0,Al-Sadd
Qatar,Assim Madibo,MF,29,1996-10-22,50,0,Al-Wakrah
Qatar,Tahsin Jamshid,FW,19,2006-06-16,2,0,Al-Duhail
Qatar,Al-Hashmi Al-Hussain,DF,22,2003-08-15,7,0,Al-Arabi
Qatar,Mohamed Manai,FW,23,2002-10-25,9,0,Al-Shamal
Switzerland,Gregor Kobel,GK,28,1997-12-06,20,0,Borussia Dortmund
Switzerland,Miro Muheim,DF,28,1998-03-24,9,0,Hamburger SV
Switzerland,Silvan Widmer,DF,33,1993-03-05,59,5,Mainz 05
Switzerland,Nico Elvedi,DF,29,1996-09-30,66,3,Borussia Mönchengladbach
Switzerland,Manuel Akanji,DF,30,1995-07-19,80,4,Inter Milan
Switzerland,Denis Zakaria,MF,29,1996-11-20,64,3,Monaco
Switzerland,Breel Embolo,FW,29,1997-02-14,86,24,Rennes
Switzerland,Remo Freuler,MF,34,1992-04-15,87,11,Bologna
Switzerland,Johan Manzambi,MF,20,2005-10-14,11,3,SC Freiburg
Switzerland,Granit Xhaka (captain),MF,33,1992-09-27,145,17,Sunderland
Switzerland,Dan Ndoye,FW,25,2000-10-25,30,7,Nottingham Forest
Switzerland,Yvon Mvogo,GK,32,1994-06-06,13,0,Lorient
Switzerland,Ricardo Rodriguez,DF,33,1992-08-25,137,9,Real Betis
Switzerland,Ardon Jashari,MF,23,2002-07-30,7,0,Milan
Switzerland,Djibril Sow,MF,29,1997-02-06,51,0,Sevilla
Switzerland,Christian Fassnacht,FW,32,1993-11-11,22,5,Young Boys
Switzerland,Rubén Vargas,FW,27,1998-08-05,61,11,Sevilla
Switzerland,Eray Cömert,DF,28,1998-02-04,21,0,Valencia
