team,player_name,position,age,date_of_birth,caps,goals,club
DR Congo,Edo Kayembe,MF,28,1998-06-03,42,2,Watford
DR Congo,Arthur Masuaku,DF,32,1993-11-07,45,4,Lens
Portugal,Diogo Costa,GK,26,1999-09-19,42,0,Porto
Portugal,Nélson Semedo,DF,32,1993-11-16,48,0,Fenerbahçe
Portugal,Rúben Dias,DF,29,1997-05-14,74,3,Manchester City
Portugal,Tomás Araújo,DF,24,2002-05-16,3,0,Benfica
Portugal,Diogo Dalot,DF,27,1999-03-18,33,3,Manchester United
Portugal,Matheus Nunes,MF,27,1998-08-27,19,2,Manchester City
Portugal,Cristiano Ronaldo (captain),FW,41,1985-02-05,226,143,Al-Nassr
Portugal,Bruno Fernandes,MF,31,1994-09-08,87,28,Manchester United
Portugal,Gonçalo Ramos,FW,24,2001-06-20,24,10,Paris Saint-Germain
Portugal,Bernardo Silva,MF,31,1994-08-10,107,14,Manchester City
Portugal,João Félix,FW,26,1999-11-10,52,12,Al-Nassr
Portugal,José Sá,GK,33,1993-01-17,4,0,Wolverhampton Wanderers
Portugal,Renato Veiga,DF,22,2003-07-29,11,1,Villarreal
Portugal,Gonçalo Inácio,DF,24,2001-08-25,20,2,Sporting CP
Portugal,João Neves,MF,21,2004-09-27,21,3,Paris Saint-Germain
Portugal,Francisco Trincão,FW,26,1999-12-29,17,3,Sporting CP
Portugal,Rafael Leão,FW,27,1999-06-10,43,5,Milan
Portugal,Pedro Neto,FW,26,2000-03-09,23,2,Chelsea
Portugal,Gonçalo Guedes,FW,29,1996-11-29,33,7,Real Sociedad
Portugal,João Cancelo,DF,32,1994-05-27,66,12,Barcelona
Portugal,Rúben Neves,MF,29,1997-03-13,65,1,Al-Hilal
Portugal,Rui Silva,GK,32,1994-02-07,2,0,Sporting CP
Portugal,Vitinha,MF,26,2000-02-13,37,0,Paris Saint-Germain
Portugal,Samú Costa,DF,25,2000-11-27,4,0,Mallorca
Portugal,Nuno Mendes,DF,23,2002-06-19,43,1,Paris Saint-Germain
Portugal,Francisco Conceição,FW,23,2002-12-14,15,3,Juventus
Uzbekistan,Utkir Yusupov,GK,35,1991-01-04,39,0,Navbahor Namangan
Uzbekistan,Abdukodir Khusanov,DF,22,2004-02-29,26,0,Manchester City
Uzbekistan,Khojiakbar Alijonov,DF,29,1997-04-19,40,2,Pakhtakor
Uzbekistan,Farrukh Sayfiev,DF,35,1991-01-17,45,1,Neftchi Fergana
Uzbekistan,Rustam Ashurmatov,DF,29,1996-07-07,48,1,Esteghlal
Uzbekistan,Akmal Mozgovoy,MF,27,1999-04-02,24,1,Pakhtakor
Uzbekistan,Otabek Shukurov,MF,29,1996-06-22,83,9,Baniyas
Uzbekistan,Jamshid Iskanderov,MF,32,1993-10-16,37,4,Neftchi Fergana
Uzbekistan,Odiljon Hamrobekov,MF,30,1996-02-13,72,1,Tractor
Uzbekistan,Jaloliddin Masharipov,MF,32,1993-09-01,74,12,Esteghlal
Uzbekistan,Oston Urunov,MF,25,2000-12-19,41,10,Persepolis
Uzbekistan,Abduvohid Nematov,GK,25,2001-03-20,8,0,Nasaf
Uzbekistan,Sherzod Nasrullaev,DF,27,1998-07-23,30,2,Nasaf
Uzbekistan,Eldor Shomurodov (captain),FW,30,1995-06-29,91,44,İstanbul Başakşehir
Uzbekistan,Umar Eshmurodov,DF,33,1992-11-30,29,0,Nasaf
Uzbekistan,Botirali Ergashev,GK,30,1995-06-23,2,0,Neftchi Fergana
Uzbekistan,Dostonbek Khamdamov,MF,29,1996-07-24,33,5,Pakhtakor
Uzbekistan,Abdulla Abdullaev,DF,28,1997-09-01,17,0,Dibba
Uzbekistan,Azizjon Ganiev,MF,28,1998-02-22,19,0,Al Bataeh
Uzbekistan,Azizbek Amonov,FW,28,1997-10-30,12,2,Dinamo Samarqand
Uzbekistan,Igor Sergeev,FW,33,1993-04-30,82,24,Persepolis
Uzbekistan,Abbosbek Fayzullaev,MF,22,2003-10-03,31,8,İstanbul Başakşehir
Uzbekistan,Sherzod Esanov,MF,23,2003-02-01,1,0,Bukhara
Uzbekistan,Bekhruz Karimov,DF,18,2007-08-07,2,0,Surkhon Termiz
Uzbekistan,Avazbek Ulmasaliev,DF,26,2000-03-27,0,0,AGMK
Uzbekistan,Jakhongir Urozov,DF,22,2004-01-18,3,0,Dinamo Samarqand
Croatia,Dominik Livaković,GK,31,1995-01-09,74,0,Dinamo Zagreb
Croatia,Josip Stanišić,DF,26,2000-04-02,30,0,Bayern Munich
Croatia,Marin Pongračić,DF,28,1997-09-11,19,0,Fiorentina
Croatia,Joško Gvardiol,DF,24,2002-01-23,47,4,Manchester City
Croatia,Duje Ćaleta-Car,DF,29,1996-09-17,38,1,Real Sociedad
Croatia,Josip Šutalo,DF,26,2000-02-28,32,0,Ajax
Croatia,Nikola Moro,MF,28,1998-03-12,10,0,Bologna
Croatia,Mateo Kovačić,MF,32,1994-05-06,112,5,Manchester City
Croatia,Andrej Kramarić,FW,34,1991-06-19,115,36,TSG Hoffenheim
Croatia,Luka Modrić (captain),MF,40,1985-09-09,197,28,Milan
Croatia,Ante Budimir,FW,34,1991-07-22,37,6,Osasuna
Croatia,Ivor Pandur,GK,26,2000-03-25,0,0,Hull City
Croatia,Nikola Vlašić,MF,28,1997-10-04,62,10,Torino
Croatia,Ivan Perišić,FW,37,1989-02-02,153,38,PSV Eindhoven
Croatia,Mario Pašalić,MF,31,1995-02-09,84,11,Atalanta
Croatia,Martin Baturina,MF,23,2003-02-16,18,1,Como
Croatia,Petar Sučić,MF,22,2003-10-25,16,1,Inter Milan
Croatia,Kristijan Jakić,DF,29,1997-05-14,17,2,FC Augsburg
Croatia,Toni Fruk,MF,25,2001-03-09,7,1,Rijeka
Croatia,Igor Matanović,FW,23,2003-03-31,8,2,SC Freiburg
Croatia,Luka Sučić,MF,23,2002-09-08,20,1,Real Sociedad
Croatia,Luka Vušković,DF,19,2007-02-24,5,1,Hamburger SV
Croatia,Dominik Kotarski,GK,26,2000-02-10,4,0,Copenhagen
Croatia,Marco Pašalić,FW,25,2000-09-14,14,1,Orlando City SC
Croatia,Martin Erlić,DF,28,1998-01-24,12,1,Midtjylland
Croatia,Petar Musa,FW,28,1998-03-04,11,1,FC Dallas
England,Jordan Pickford,GK,32,1994-03-07,82,0,Everton
England,Ezri Konsa,DF,28,1997-10-23,18,1,Aston Villa
England,Nico O'Reilly,DF,21,2005-03-21,3,0,Manchester City
England,Declan Rice,MF,27,1999-01-14,72,6,Arsenal
England,John Stones,DF,32,1994-05-28,87,3,Manchester City
England,Marc Guéhi,DF,25,2000-07-13,27,1,Manchester City
England,Bukayo Saka,FW,24,2001-09-05,48,14,Arsenal
England,Elliot Anderson,MF,23,2002-11-06,7,0,Nottingham Forest
England,Harry Kane (captain),FW,32,1993-07-28,112,78,Bayern Munich
England,Jude Bellingham,MF,22,2003-06-29,46,6,Real Madrid
England,Marcus Rashford,FW,28,1997-10-31,70,18,Barcelona
England,Tino Livramento,DF,23,2002-11-12,5,0,Newcastle United
England,Dean Henderson,GK,29,1997-03-12,4,0,Crystal Palace
England,Jordan Henderson,MF,35,1990-06-17,89,3,Brentford
England,Dan Burn,DF,34,1992-05-09,6,0,Newcastle United
England,Kobbie Mainoo,MF,21,2005-04-19,12,0,Manchester United
England,Morgan Rogers,MF,23,2002-07-26,13,1,Aston Villa
England,Anthony Gordon,FW,25,2001-02-24,17,2,Newcastle United
England,Ollie Watkins,FW,30,1995-12-30,20,6,Aston Villa
England,Noni Madueke,FW,24,2002-03-10,10,1,Arsenal
England,Eberechi Eze,MF,27,1998-06-29,16,3,Arsenal
England,Ivan Toney,FW,30,1996-03-16,7,1,Al-Ahli
England,James Trafford,GK,23,2002-10-10,1,0,Manchester City
England,Reece James,DF,26,1999-12-08,22,1,Chelsea
England,Djed Spence,DF,25,2000-08-09,4,0,Tottenham Hotspur
England,Jarell Quansah,DF,23,2003-01-29,1,0,Bayer Leverkusen
Ghana,Lawrence Ati-Zigi,GK,29,1996-11-29,29,0,St. Gallen
Ghana,Alidu Seidu,DF,26,2000-06-04,24,1,Rennes
Ghana,Caleb Yirenkyi,MF,20,2006-01-15,11,1,Nordsjælland
Ghana,Jonas Adjetey,DF,22,2003-12-13,10,0,VfL Wolfsburg
Ghana,Thomas Partey,MF,32,1993-06-13,57,15,Villarreal
Ghana,Abdul Mumin,DF,28,1998-06-06,5,0,Rayo Vallecano
Ghana,Abdul Fatawu,FW,22,2004-03-08,28,3,Leicester City
Ghana,Kwasi Sibo,MF,27,1998-06-24,8,0,Oviedo
Ghana,Jordan Ayew (captain),FW,34,1991-09-11,120,34,Leicester City
Ghana,Brandon Thomas-Asante,FW,27,1998-12-29,8,1,Coventry City
Ghana,Antoine Semenyo,MF,26,2000-01-07,34,3,Manchester City
Ghana,Joseph Anang,GK,26,2000-06-08,1,0,St Patrick's Athletic
Ghana,Christopher Bonsu Baah,FW,21,2004-12-14,9,0,Al-Qadsiah
Ghana,Gideon Mensah,DF,27,1998-07-18,40,0,Auxerre
Ghana,Elisha Owusu,MF,28,1997-11-07,20,0,Auxerre
Ghana,Benjamin Asare,GK,33,1992-07-13,11,0,Hearts of Oak
Ghana,Abdul Rahman Baba,DF,31,1994-07-02,51,1,PAOK
Ghana,Jerome Opoku,DF,27,1998-10-14,11,1,İstanbul Başakşehir
Ghana,Iñaki Williams,FW,31,1994-06-15,26,2,Athletic Bilbao
Ghana,Augustine Boakye,MF,25,2000-11-03,0,0,Saint-Étienne
Ghana,Kojo Peprah Oppong,DF,22,2004-06-04,4,0,Nice
Ghana,Kamaldeen Sulemana,FW,24,2002-02-15,28,1,Atalanta
Ghana,Derrick Luckassen,DF,30,1995-07-03,1,0,Pafos
Ghana,Ernest Nuamah,FW,22,2003-11-01,18,4,Lyon
Ghana,Prince Kwabena Adu,FW,22,2003-09-23,5,0,Viktoria Plzeň
Ghana,Marvin Senaya,DF,25,2001-01-28,2,0,Auxerre
Panama,Luis Mejía,GK,35,1991-03-16,56,0,Nacional
Panama,César Blackman,DF,28,1998-04-02,39,3,Slovan Bratislava
Panama,José Córdoba,DF,25,2001-06-03,32,1,Norwich City
Panama,Fidel Escobar,DF,31,1995-01-09,98,4,Saprissa
Panama,Edgardo Fariña,DF,24,2001-10-19,17,0,Pari Nizhny Novgorod
Panama,Cristian Martínez,MF,29,1997-02-06,65,2,Ironi Kiryat Shmona
Panama,José Luis Rodríguez,MF,27,1998-06-19,69,8,Juárez
Panama,Adalberto Carrasquilla,MF,27,1998-11-28,73,3,UNAM
Panama,Tomás Rodríguez,FW,27,1999-03-09,13,4,Saprissa
Panama,Ismael Díaz,MF,29,1997-05-12,56,17,León
Panama,Yoel Bárcenas,MF,32,1993-10-23,103,10,Mazatlán
Panama,César Samudio,GK,32,1994-02-23,5,0,Marathón
Panama,Jiovany Ramos,DF,29,1997-01-26,22,1,Puerto Cabello
Panama,Carlos Harvey,DF,26,2000-02-03,27,3,Minnesota United FC
Panama,Eric Davis,DF,35,1991-03-31,106,9,Plaza Amador
Panama,Andrés Andrade,DF,27,1998-10-16,49,1,LASK
Panama,José Fajardo,FW,32,1993-08-18,67,17,Universidad Católica
Panama,Cecilio Waterman,FW,35,1991-04-13,54,15,Universidad de Concepción
Panama,Alberto Quintero,MF,38,1987-12-18,141,7,Plaza Amador
Panama,Aníbal Godoy (captain),MF,36,1990-02-10,159,4,San Diego FC
Panama,César Yanis,MF,30,1996-01-28,56,5,Cobresal
Panama,Orlando Mosquera,GK,31,1994-12-25,47,0,Al-Fayha
Panama,Michael Amir Murillo,DF,30,1996-02-11,93,9,Beşiktaş
Panama,Azarias Londoño,FW,24,2001-06-21,10,0,Universidad Católica
Panama,Roderick Miller,DF,34,1992-04-03,50,2,Turan Tovuz
Panama,Jorge Gutiérrez,DF,27,1998-09-01,18,0,Deportivo La Guaira
